Player,Pos,Age,Tm,G,MP,PER
Alex Abrines,SG,24,OKC,75,1134,9
Quincy Acy,PF,27,BRK,70,1359,8.2
Steven Adams,C,24,OKC,76,2487,20.6
Bam Adebayo,C,20,MIA,69,1368,15.7
Arron Afflalo,SG,32,ORL,53,682,5.8
Cole Aldrich,C,29,MIN,21,49,6
LaMarcus Aldridge,C,32,SAS,75,2509,25
Jarrett Allen,C,19,BRK,72,1441,17.5
Kadeem Allen,PG,25,BOS,18,107,2.6
Tony Allen,SF,36,NOP,22,273,8.7
Al-Farouq Aminu,PF,27,POR,69,2072,12
Justin Anderson,SF,24,PHI,38,519,13
Kyle Anderson,SF,24,SAS,74,1978,15.9
Ryan Anderson,PF,29,HOU,66,1725,12.6
Ike Anigbogu,C,19,IND,11,30,21.6
Giannis Antetokounmpo,PF,23,MIL,75,2756,27.3
Carmelo Anthony,PF,33,OKC,78,2501,12.7
OG Anunoby,SF,20,TOR,74,1481,10
Ryan Arcidiacono,PG,23,CHI,24,304,7.3
Trevor Ariza,SF,32,HOU,67,2269,11.8
Darrell Arthur,PF,29,DEN,19,141,8.4
Jamel Artis,SG,25,ORL,15,279,6.9
Omer Asik,C,31,TOT,18,182,3.1
Omer Asik,C,31,NOP,14,121,4.5
Omer Asik,C,31,CHI,4,61,0.2
D.J. Augustin,PG,30,ORL,75,1760,15.4
Luke Babbitt,SF,28,TOT,50,715,9.8
Luke Babbitt,SF,28,ATL,37,570,12
Luke Babbitt,SF,28,MIA,13,145,1.3
Dwayne Bacon,SG,22,CHO,53,713,5.8
Ron Baker,SG,24,NYK,29,385,9.3
Wade Baldwin,PG,21,POR,7,80,16.6
Lonzo Ball,PG,20,LAL,52,1780,12.5
J.J. Barea,PG,33,DAL,69,1603,17.8
Harrison Barnes,PF,25,DAL,77,2634,15.8
Will Barton,SG,27,DEN,81,2683,16.2
Nicolas Batum,SG,29,CHO,64,1981,14.4
Jerryd Bayless,SG,29,PHI,39,925,7.5
Aron Baynes,C,31,BOS,81,1485,12.1
Kent Bazemore,SG,28,ATL,65,1789,14.5
