Player,Pos,Age,Tm,G,MP,PER
Tyler Dorsey,SG,22,ATL,10,105,5
Damyean Dotson,SG,24,NYK,17,450,13
Goran Dragic,PG,32,MIA,12,369,13.5
Andre Drummond,C,25,DET,18,603,23.2
Jared Dudley,PF,33,BRK,22,502,5.9
Kris Dunn,PG,24,CHI,1,30,-0.5
Kevin Durant,PF,30,GSW,23,821,27.9
Vince Edwards,SF,22,HOU,1,4,33.1
Henry Ellenson,PF,22,DET,1,8,24.7
Wayne Ellington,SG,31,MIA,13,332,12.8
Joel Embiid,C,24,PHI,23,795,25.7
James Ennis,SF,28,HOU,17,447,11.3
Drew Eubanks,PF,21,SAS,3,13,14.2
Jacob Evans,SG,21,GSW,14,68,0.3
Tyreke Evans,SG,29,IND,21,449,12.3
Dante Exum,PG,23,UTA,22,373,8.7
Kenneth Faried,PF,29,BRK,7,41,22.1
Derrick Favors,C,27,UTA,21,488,20.5
Cristiano Felicio,C,26,CHI,16,217,10.9
Raymond Felton,PG,34,OKC,12,136,10.2
Terrance Ferguson,SG,20,OKC,15,320,3.4
Yogi Ferrell,SG,25,SAC,13,179,11.6
Dorian Finney-Smith,SF,25,DAL,19,519,11.5
Bryn Forbes,PG,25,SAS,21,594,11.6
Evan Fournier,SG,26,ORL,22,663,12.7
De'Aaron Fox,PG,21,SAC,21,682,17.5
Melvin Frazier,SG,22,ORL,2,11,-9.7
Tim Frazier,PG,28,NOP,13,178,7.8
Channing Frye,C,35,CLE,3,31,10.5
Markelle Fultz,SG,20,PHI,19,427,10.6
Danilo Gallinari,SF,30,LAC,20,628,19.7
Langston Galloway,SG,27,DET,17,419,11.2
Marc Gasol,C,34,MEM,20,701,21.7
Pau Gasol,C,38,SAS,9,157,21.3
Rudy Gay,SF,32,SAS,17,454,17.4
Paul George,SF,28,OKC,20,705,20.6
Taj Gibson,PF,33,MIN,22,581,17.5
Harry Giles,PF,20,SAC,17,176,12.7
Shai Gilgeous-Alexander,PG,20,LAC,21,587,13.2
Rudy Gobert,C,26,UTA,22,705,24.1
Aaron Gordon,PF,23,ORL,20,642,16.5
Eric Gordon,SG,30,HOU,17,566,10.2
Marcin Gortat,C,34,LAC,17,293,14.9
Devonte' Graham,PG,23,CHO,7,64,5.1
Treveon Graham,SG,25,BRK,2,27,-5.1
Jerami Grant,PF,24,OKC,20,610,14.1
Jerian Grant,PG,26,ORL,22,431,9.6
Danny Green,SG,31,TOR,23,660,11.4
Draymond Green,PF,28,GSW,13,396,12.6
Gerald Green,SG,33,HOU,16,265,8.7
JaMychal Green,PF,28,MEM,8,174,14.7
Jeff Green,PF,32,WAS,21,511,14.8
Blake Griffin,PF,29,DET,18,654,20.7
Daniel Hamilton,SG,23,ATL,2,12,-2.9
Tim Hardaway,SG,26,NYK,22,725,17.5
James Harden,SG,29,HOU,17,635,26.7
Maurice Harkless,SF,25,POR,9,138,7.1
Montrezl Harrell,C,25,LAC,21,542,26.9
Devin Harris,PG,35,DAL,9,135,19.9
Gary Harris,SG,24,DEN,19,633,15
Joe Harris,SG,27,BRK,22,643,13.3
Tobias Harris,PF,26,LAC,21,734,19.9
Andrew Harrison,SG-PG,24,TOT,10,132,5.9
Andrew Harrison,PG,24,MEM,1,5,4.9
Andrew Harrison,SG,24,CLE,9,127,5.9
Shaquille Harrison,PG,25,CHI,13,215,14.8
Josh Hart,SG,23,LAL,21,519,13
Isaiah Hartenstein,PF,20,HOU,19,165,9.7
Udonis Haslem,C,38,MIA,2,6,-26.1
Gordon Hayward,SF,28,BOS,19,508,13.8
John Henson,C,28,MIL,14,188,17.4
Juan Hernangomez,PF,23,DEN,20,499,14
Willy Hernangomez,C,24,CHO,16,215,22.2
Mario Hezonja,SF,23,NYK,21,408,8.5
Buddy Hield,SG,25,SAC,21,651,15.6
George Hill,PG,32,CLE,10,265,17
Solomon Hill,SF,27,NOP,10,179,5.4
Aaron Holiday,PG,22,IND,12,148,14.2
Jrue Holiday,SG,28,NOP,22,798,18.2
Justin Holiday,SG,29,CHI,22,785,12.5
John Holland,SF,30,CLE,1,1,0
Rondae Hollis-Jefferson,SF,24,BRK,18,395,13.7
Richaun Holmes,C,25,PHO,20,248,20
Rodney Hood,SG,26,CLE,20,571,14
Al Horford,C,32,BOS,20,600,16.6
Danuel House,SF,25,HOU,2,52,10.1
Dwight Howard,C,33,WAS,9,230,17.8
Kevin Huerter,SG,20,ATL,21,422,9.2
Chandler Hutchison,SF,22,CHI,18,344,8.1
Serge Ibaka,C,29,TOR,22,603,21.1
Andre Iguodala,SF,35,GSW,21,492,10.3
Ersan Ilyasova,PF,31,MIL,19,398,12.5
Joe Ingles,SF,31,UTA,22,725,12.5
Brandon Ingram,SG,21,LAL,17,541,11.5
Kyrie Irving,PG,26,BOS,20,645,23.3
Jonathan Isaac,SF,21,ORL,16,359,13.4
Wesley Iwundu,SF,24,ORL,18,303,7.1
Demetrius Jackson,PG,24,PHI,1,6,12.5
Frank Jackson,PG,20,NOP,15,180,3.7
Jaren Jackson,C,19,MEM,20,500,18.1
Josh Jackson,SG,21,PHO,21,371,8.1
Justin Jackson,SF,23,SAC,20,408,11.1
Reggie Jackson,PG,28,DET,18,522,14.1
LeBron James,PF,34,LAL,21,734,27
Jonas Jerebko,PF,31,GSW,23,446,14.1
Alize Johnson,PF,22,IND,3,9,0.3
Amir Johnson,C,31,PHI,22,223,14.8
James Johnson,PF,31,MIA,5,103,5.2
Stanley Johnson,SF,22,DET,17,407,11.8
Tyler Johnson,PG,26,MIA,16,435,12.3
Wesley Johnson,SF,31,NOP,16,306,8.4
Nikola Jokic,C,23,DEN,21,616,24.1
Damian Jones,C,23,GSW,23,390,15.8
Derrick Jones,SF,21,MIA,13,187,8.2
Tyus Jones,PG,22,MIN,21,389,10.6
DeAndre Jordan,C,30,DAL,19,605,17.6
Cory Joseph,PG,27,IND,22,579,12.1
Frank Kaminsky,PF,25,CHO,10,103,16.4
Enes Kanter,C,26,NYK,23,634,22.9
Luke Kennard,SG,22,DET,3,43,16.2
Michael Kidd-Gilchrist,PF,25,CHO,15,298,18
Maxi Kleber,PF,27,DAL,19,353,14.7
Kevin Knox,PF,19,NYK,16,287,6.7
Furkan Korkmaz,SG,21,PHI,15,167,11.5
Luke Kornet,PF,23,NYK,4,13,-5.1
Kyle Korver,PF,37,CLE,16,251,11.7
Kosta Koufos,C,29,SAC,7,98,15.5
Rodions Kurucs,SF,20,BRK,7,82,17.6
Kyle Kuzma,SF,23,LAL,21,642,14
Skal Labissiere,PF,22,SAC,7,40,8.9
Jeremy Lamb,SG,26,CHO,21,578,17.9
Zach LaVine,SG,23,CHI,21,758,17.9
Jake Layman,SF,24,POR,19,300,11.4
T.J. Leaf,PF,21,IND,14,99,7.6
Damion Lee,SG,26,GSW,11,159,10.6
Alex Len,C,25,ATL,20,423,14.3
Kawhi Leonard,SF,27,TOR,17,581,24.4
Meyers Leonard,C,26,POR,18,223,21.1
Jon Leuer,PF,29,DET,8,64,11.7
Caris LeVert,SF,24,BRK,14,416,18.8
Damian Lillard,PG,28,POR,21,733,25
Jeremy Lin,PG,30,ATL,21,397,17.5
Shaun Livingston,PG,33,GSW,14,231,13.9
Zach Lofton,SG,26,DET,1,4,-9.8
Kevon Looney,C,22,GSW,23,434,16.5
Brook Lopez,C,30,MIL,21,573,12.7
Robin Lopez,C,30,CHI,16,272,9.5
Kevin Love,PF,30,CLE,4,136,16
Kyle Lowry,PG,32,TOR,23,785,19.9
Jordan Loyd,PG,25,TOR,3,17,31.7
Timothe Luwawu-Cabarrot,SF,23,OKC,13,110,5.5
Tyler Lydon,PF,22,DEN,7,26,22.6
Trey Lyles,PF,23,DEN,21,433,13.2
Shelvin Mack,PG,28,MEM,20,502,14.8
Daryl Macon,SG,23,DAL,1,1,0
Ian Mahinmi,C,32,WAS,11,161,12.1
Thon Maker,C,21,MIL,13,152,12.1
Boban Marjanovic,C,30,LAC,16,180,28.9
Jarell Martin,PF,24,ORL,14,144,6.5
Frank Mason,PG,24,SAC,20,274,12.1
Wesley Matthews,SG,32,DAL,15,478,13.6
Luc Mbah a Moute,PF,32,LAC,4,61,7.1
CJ McCollum,SG,27,POR,21,708,16.7
T.J. McConnell,PG,26,PHI,17,257,11.6
Doug McDermott,SF,27,IND,22,384,13.9
JaVale McGee,C,31,LAL,21,514,22.7
Rodney McGruder,SG,27,MIA,20,673,11.4
Alfonzo McKinnie,SF,26,GSW,16,251,13.5
Ben McLemore,SG,25,SAC,6,30,2.2
Jordan McRae,SG,27,WAS,4,22,-0.3
Salah Mejri,C,32,DAL,6,41,18.5
De'Anthony Melton,PG,20,PHO,4,42,2.6
Chimezie Metu,PF,21,SAS,11,67,8.7
Khris Middleton,SF,27,MIL,21,659,18.1
C.J. Miles,SF,31,TOR,17,235,7.1
Darius Miller,SF,28,NOP,18,365,7.1
Patty Mills,PG,30,SAS,21,537,12.8
Paul Millsap,PF,33,DEN,21,552,20.1
Nikola Mirotic,PF,27,NOP,20,632,20.2
Donovan Mitchell,SG,22,UTA,18,588,15.6
Naz Mitrou-Long,SG,25,UTA,1,4,-13.6
Malik Monk,SG,20,CHO,20,415,12.1
Greg Monroe,C,28,TOR,10,74,15.8
E'Twaun Moore,SF,29,NOP,22,690,14.1
Jaylen Morris,SG,23,MIL,2,13,21.1
Marcus Morris,PF,29,BOS,20,528,15.3
Markieff Morris,PF,29,WAS,20,531,13.7
Monte Morris,PG,23,DEN,21,502,15
Emmanuel Mudiay,PG,22,NYK,16,343,15.5
Jamal Murray,PG,21,DEN,21,709,14.3
Dzanan Musa,SG,19,BRK,6,22,5.1
Mike Muscala,PF,27,PHI,17,391,9.7
Svi Mykhailiuk,SF,21,LAL,10,99,3.9
Abdel Nader,SF,25,OKC,8,21,18
Larry Nance,C,26,CLE,18,416,16.7
Shabazz Napier,PG,27,BRK,18,272,14.7
Raul Neto,PG,26,UTA,5,61,13.8
Georges Niang,PF,25,UTA,18,133,11.9
Nerlens Noel,C,24,OKC,19,258,23.1
Frank Ntilikina,PG,20,NYK,23,532,5.7
James Nunnally,SF,28,MIN,7,45,9.4
Jusuf Nurkic,C,24,POR,21,542,24.4
David Nwaba,SG,26,CLE,14,243,12.6
Royce O'Neale,SF,25,UTA,22,362,7.5
Kyle O'Quinn,C,28,IND,13,75,18.7
Semi Ojeleye,PF,24,BOS,14,147,5.2
Jahlil Okafor,C,23,NOP,10,60,11.3
Elie Okobo,PG,21,PHO,12,198,11.3
Josh Okogie,SG,20,MIN,16,338,9.5
Victor Oladipo,SG,26,IND,16,518,20.4
Kelly Olynyk,PF,27,MIA,19,339,14.9
Cedi Osman,SF,23,CLE,18,568,9.3
Kelly Oubre,SF,23,WAS,21,526,13.1
Zaza Pachulia,C,34,DET,18,223,14.9
Jabari Parker,PF,23,CHI,22,707,13.2
Tony Parker,PG,36,CHO,18,339,15.6
Chandler Parsons,SF,30,MEM,3,46,7.2
Patrick Patterson,PF,29,OKC,20,318,7.4
Chris Paul,PG,33,HOU,15,520,19.6
Cameron Payne,PG,24,CHI,20,370,10
Elfrid Payton,PG,24,NOP,6,152,13.9
Theo Pinson,SG,23,BRK,2,10,7.7
Mason Plumlee,C,28,DEN,21,360,20
Miles Plumlee,C,30,ATL,13,138,20.6
Jakob Poeltl,C,23,SAS,17,208,20.8
Quincy Pondexter,SF,30,SAS,17,102,17.4
Otto Porter,SF,25,WAS,20,588,15.4
Bobby Portis,PF,23,CHI,4,113,12.1
Dwight Powell,C,27,DAL,16,258,22.7
Norman Powell,SG,25,TOR,11,164,9.9
Alex Poythress,PF,25,ATL,13,195,12.1
Zhou Qi,PF,23,HOU,1,1,82.9
Ivan Rabb,PF,21,MEM,8,53,10.7
Julius Randle,C,24,NOP,22,578,23.4
J.J. Redick,SG,34,PHI,23,713,15
Davon Reed,SG,23,IND,3,6,-2.6
Josh Richardson,SG,25,MIA,20,699,16.3
